en,fr
"Montréal-Nord has the highest proportion of people with an annual income of less than $50,000 at 59.5%, closely followed by Villeray-Saint-Michel-Parc-Extension (57.7%) and Ville-Marie (57.6%).","Montréal-Nord compte la plus grande proportion de personnes ayant un revenu annuel inférieur à 50 000 $, soit 59,5 %, suivie de près par Villeray-Saint-Michel-Parc-Extension (57,7 %) et Ville-Marie (57,6 %)."
"Sainte-Anne-de-Bellevue has the lowest proportion of people with an annual income of less than $50,000 at 7.4%.","Sainte-Anne-de-Bellevue a la plus petite proportion de personnes ayant un revenu annuel inférieur à 50 000 $, soit 7,4 %."
"Sainte-Anne-de-Bellevue has the highest proportion of people with an annual income of more than $100,000 at 65.4%, and Montreal-Nord has the lowest (9.7%).","Sainte-Anne-de-Bellevue a la plus grande proportion de personnes ayant un revenu annuel supérieur à 100 000 $, soit 65,4 %, et Montréal-Nord a la plus petite (9,7 %)."
"Sainte-Anne-des-Plaines has the highest proportion of people (43.7%) with an annual income of between $50,000 and $100,000.","Sainte-Anne-des-Plaines compte la plus grande proportion de personnes (43,7 %) ayant un revenu annuel compris entre 50 000 et 100 000 dollars."
"Half of the Montreal CMA's boroughs or cities has a proportion of 29.0% or less people with an annual income below $50,000. 10% of the Montreal CMA's borough or cities has a proportion of 49.2% or higher of people with an annual income below $50,000.","La moitié des arrondissements ou des villes de la RMR de Montréal comptent une proportion de 29,0 % ou moins de personnes ayant un revenu annuel inférieur à 50 000 $. 10 % des arrondissements ou des villes de la RMR de Montréal ont une proportion de 49,2 % ou plus de personnes ayant un revenu annuel inférieur à 50 000 $."
"Montreal-Nord has the lowest median income in Montreal ($43,240.1), followed by Villeray-Saint-Michel-Parc-Extension ($43,910.8).","Montréal-Nord a le revenu médian le plus bas de Montréal (43 240,1 $), suivi de Villeray-Saint-Michel-Parc-Extension (43 910,8 $)."
"Hampstead has the highest median income in Montreal ($134,155.3), followed by Westmount ($133,333.9), Sainte-Anne-de-Bellevue ($130,552.9), Mont-Royal ($130,019.4), and Beaconsfield ($129,911.4).","Hampstead a le revenu médian le plus élevé à Montréal (134 155,3 $), suivi de Westmount (133 333,9 $), Sainte-Anne-de-Bellevue (130 552,9 $), Mont-Royal (130 019,4 $) et Beaconsfield (129 911,4 $)."
"Sainte-Julie, Notre-Dame-de-l'Île-Perrot, Oka, Pointe-Calumet, and Charlemagne have less than 0.2% new immigrants.","Sainte-Julie, Notre-Dame-de-l'Île-Perrot, Oka, Pointe-Calumet, et Charlemagne ont moins de 0.2% de nouveaux immigrants."
"Sainte-Julie has 0.0% immigrants, and Pointe-Calumet has the next lowest proportion at 2.1%.","Sainte-Julie compte 0,0 % d'immigrants, et Pointe-Calumet a la deuxième plus basse proportion avec 2,1 %."
"Saint-Laurent has the highest proportion of new immigrants (12.1%), followed by Côte-des-Neiges-Notre-Dame-de-Grâce (12.0%).","Saint-Laurent a la plus grande proportion de nouveaux immigrants (12,1 %), suivie de Côte-des-Neiges-Notre-Dame-de-Grâce (12,0 %)."
Saint-Laurent has the highest proportion of immigrants (53.6%) and also the highest proportion of new immigrants (12.1%).,"Saint-Laurent a la plus grande proportion d'immigrants (53,6 %) et aussi la plus grande proportion de nouveaux immigrants (12,1 %)."
Half of areas in Montreal has a proportion of immigrants 22.6% of higher (50th percentile).,"La moitié des quartiers de Montréal ont une proportion d'immigrants de 22,6 % ou plus (50e percentile)."
"50% of areas in Montreal have new immigrant proportions of 2.8% or lower, and 10% have proportions above 8.3%.","50 % des quartiers de Montréal ont une proportion de nouveaux immigrants de 2,8 % ou moins, et 10 % ont une proportion supérieure à 8,3 %."
The proportion of people who walk or bike to work in Montreal ranges between 0.0% (Saint-Isidore) and 36.0% (Le Plateau-Mont-Royal).,"La proportion de personnes qui se rendent au travail à Montréal à pied ou à vélo varie entre 0,0 % (Saint-Isidore) et 36,0 % (Le Plateau-Mont-Royal)."
"50% of areas in Montreal have proportions of people who walk or bike to work lower than 4.4%, and 10% of areas have proportions higher than 11.7%.","50 % des quartiers de Montréal ont des proportions de personnes qui se rendent au travail à pied ou à vélo inférieures à 4,4 %, et 10 % des quartiers ont des proportions supérieures à 11,7 %."
The proportion of people who take public tansit to work in Montreal ranges between 3.0% (Mirabel) and 46.7% (Côte-des-Neiges-Notre-Dame-de-Grâce).,"La proportion de personnes qui prennent le transport en commun pour aller travailler à Montréal varie entre 3,0 % (Mirabel) et 46,7 % (Côte-des-Neiges-Notre-Dame-de-Grâce)."
"Côte-des-Neiges-Notre-Dame-de-Grâce has the highest proportion of people who take public transit to work (46.7%), followed by Villeray-Saint-Michel-Parc-Extension (45.2%).","Côte-des-Neiges-Notre-Dame-de-Grâce compte la plus grande proportion de personnes qui prennent le transport en commun pour se rendre au travail (46,7 %), suivi de Villeray-Saint-Michel-Parc-Extension (45,2 %)."
50% of areas in Montreal have proportions of people who take transit to work lower than 16.8%.,"Dans 50 % des quartiers de Montréal, la proportion de personnes qui prennent le transport en commun pour se rendre au travail est inférieure à 16,8 %."
10% of areas in Montreal have proportions of people taking transit to work higher than 36.0%.,"Dans 10 % des quartiers de Montréal, la proportion de personnes qui prennent le transport en commun pour se rendre au travail est supérieure à 36,0 %."
The proportion of people who drive to work ranges from 24.9% (Le Plateau-Mont-Royal) and 95.7% (Saint-Isidore).,"La proportion de personnes qui se rendent au travail en voiture varie entre 24,9% (Le Plateau-Mont-Royal) et 95,7% (Saint-Isidore)."
90% of areas in Montreal have proportions higher than 48.0% of people who drive to work.,"90 % des quartiers de Montréal ont des proportions supérieures à 48,0 % de personnes qui se rendent au travail en voiture."
The three areas with the lowest property values all have average Active Living Environment classes of 2 or less (Pointe-Calumet (1.7); Sainte-Anne-des-Plaines (1.8); Bois-des-Filion (2.0)).,"Les trois régions dont la valeur des propriétés est la plus faible ont toutes des moyennes de classe de
                      potentiel de vie active de 2 ou moins (Pointe-Calumet (1,7) ; Sainte-Anne-des-Plaines (1,8) ; Bois-des-Filion (2,0))."
The ten areas with the highest proportion of tenants have active living environment class averages ranging from 3.96 to 5.,"Les dix zones ayant la plus forte proportion de locataires ont des moyennes de classe de potentiel de vie active allant de 3,96 à 5."
The ten areas with the lowest proportion of tenant have average active living environments classes ranging from 1 and 2.,Les dix zones ayant la plus faible proportion de locataires ont des moyennes de classe de potentiel de vie active allant de 1 à 2.
"The areas with the lowest active living potential (ALE class 1) have tenant proportions ranging from 0.0% (Saint-Bruno-de-Montarville, Oka) to 24.6% (Saint-Isidore).","Les zones ayant le plus faible potentiel de vie active (classe 1 de l'AVA) ont des proportions de locataires allant de 0,0% (Saint-Bruno-de-Montarville, Oka) à 24,6% (Saint-Isidore)."
"The areas with the lowest active living potential (ALE class 1) have average property values ranging from $250,046.0 (Saint-Isidore) to $994,294.4 (Saint-Anne-de-Bellevue).","Les zones ayant le plus faible potentiel de vie active (classe 1 de l'AVA) ont une valeur moyenne des propriétés allant de 250 046,0 $ (Saint-Isidore) à 994 294,4 $ (Saint-Anne-de-Bellevue)."
The areas with the lowest active living potential (ALE class 1) have proportions of unaffordable housing ranging from 10.1% (Sainte-Anne-de-Bellevue) to 18.2% (Sainte-Julie).,"Les zones ayant le plus faible potentiel de vie active (classe 1 de l'AVA) présentent des proportions de logements inabordables allant de 10,1% (Sainte-Anne-de-Bellevue) à 18,2% (Sainte-Julie)."
"The areas with the lowest active living potential (ALE class 1) have proportions of unsuitable housing ranging from 0.0% (Sainte-Julie, Saint-Bruno-de-Montarville, Sainte-Anne-de-Bellevue) to 5.1% (Oka).","Les zones ayant le plus faible potentiel de vie active (classe 1 de l'AVA) présentent des proportions de logements de taille non convenable allant de 0,0% (Sainte-Julie, Saint-Bruno-de-Montarville, Sainte-Anne-de-Bellevue) à 5,1% (Oka)."
"Sainte-Anne-des-Plaines has the highest proportion of people (43.7%) with an annual income of up to $100,000.","Sainte-Anne-des-Plaines compte la plus forte proportion de personnes (43,7 %) ayant un revenu annuel allant jusqu'à 100 000 $."
"The areas with the lowest active living potential (ALE class 1) have median household incomes ranging from $63,744.0 (Saint-Isidore) to $130,552.9 (Sainte-Anne-de-Bellevue).","Les régions où le potentiel de vie active est le plus faible (classe 1 de l'AVA) ont des revenus des ménages médians allant de 63 744,0 $ (Saint-Isidore) à 130 552,9 $ (Sainte-Anne-de-Bellevue)."
"The areas with the highest active living potential (average ALE class 5 or higher) have median household incomes ranging from $43,910.8 (Villeray-Saint-Michel-Parc-Extension) to $134,155.3 (Hampstead).","Les régions où le potentiel de vie active est le plus élevé (moyenne de l'AVA classe 5 ou plus) ont des revenus médians par ménage allant de 43 910,8 $ (Villeray-Saint-Michel-Parc-Extension) à 134 155,3 $ (Hampstead)."
"The areas with the lowest proportion of people with commute times of more than one hour are Westmount (5.5%), Outremont (5.7%), and Mont-Royal (5.9%).","Les régions où la proportion de personnes ayant un temps de déplacement domicile-travail de plus d'une heure est la plus faible sont Westmount (5,5 %), Outremont (5,7 %) et Mont-Royal (5,9 %)."
"The areas with the highest proportion of people with commute times of more than one hour are Léry (19.2%), Saint-Léonard (16.6%), and Anjou (16.2%).","Les régions où la proportion de personnes ayant un temps de déplacement domicile-travail supérieur à une heure est la plus élevée sont Léry (19,2%), Saint-Léonard (16,6%) et Anjou (16,2%)."
"The three areas with the highest proportion of people with commute times of more than one hour have varying classes of active living potential, from 1 (Léry) to 3.9 (Saint-Léonard).","Les trois zones qui comptent la plus forte proportion de personnes ayant un temps de trajet de plus d'une heure ont des classes de potentiel de vie active variables, de 1 (Léry) à 3,9 (Saint-Léonard)."
"The three areas with the lowest proportion of people with commute times of more than one hour all have average classes of active living potential above 3 (Westmount: 4.36, Outremont: 4.43, Mont-Royal: 3.33).","Les trois régions qui comptent la plus faible proportion de personnes dont le temps de déplacement est supérieur à une heure ont toutes des classes moyennes de potentiel de vie active supérieures à 3 (Westmount: 4,36, Outremont: 4,43, Mont-Royal: 3,33)."
The five areas with the highest active living potential are all boroughs of the City of Montreal (Le Plateau-Mont-Royal; Rosemont-La-Petite-Patrie; Ville-Marie; Villeray-Saint-Michel-Parc-Extension; Côte-des-Niges-Notre-Dame-de-Grâce).,Les cinq secteurs ayant le plus fort potentiel de vie active sont tous des arrondissements de la Ville de Montréal (Le Plateau-Mont-Royal; Rosemont-La-Petite-Patrie; Ville-Marie; Villeray-Saint-Michel-Parc-Extension; Côte-des-Niges-Notre-Dame-de-Grâce).
"Please wait, this may take a few minutes","Veuillez patienter, ceci peut prendre quelques minutes"
Access to Urban Opportunities,Accès aux opportunités urbaines
Dissemination Area,Aire de diffusion
Route Planner,Planificateur d'itinéraire
Cycling Network,Réseau cycliste
Select your destination,Sélectionnez votre destination
COVID-19 Testing Centre,Centre de dépistage COVID-19
Health Care,Soins de santé
Grocery Store,Épicerie
Pharmacy,Pharmacie
Eating Place,Lieu de restauration
Shortest Route,Itinéraire le plus court
Route Information,Informations sur l'itinéraire
Elevation Profile,Profil d'élévation
Select a variable:,Choisissez une variable:
Travel Time to Closest Health Care,Temps de trajet pour se rendre aux soins de santé les plus proches
Travel Time to Closest Grocery,Temps de trajet jusqu'à l'épicerie la plus proche
Travel Time to Closest Pharmacy,Temps de trajet jusqu'à la pharmacie la plus proche
Number of Accessible Eating Places,Nombre de lieux de restauration accessibles
Journey Time,Durée du trajet
Route Distance,Distance du trajet
Cycling Facility,Installations pour cyclistes
CO2 Avoided,CO2 évité
Distance (m),Distance (m)
Elevation (m),Élevation (m)
km/sq(km),km/km2
Low Income Rate (2016),Taux de faible revenu (2016)
Cycling Rate,Taux de cyclisme
Density of Cycling Facility,Densité de l'infrastructure cyclable
Safest Route/Fastest Route,L'itinéraire le plus sécuritaire/le plus rapide
Travel Time to Closest Health Care Facility (minutes),Temps de trajet jusqu'à l'établissement de soins de santé le plus proche (en minutes)
Travel Time to Closest Grocery Store (minutes),Temps de trajet jusqu'à l'épicerie la plus proche (en minutes)
Travel Time to Closest Pharmacy (minutes),Temps de trajet jusqu'à la pharmacie la plus proche (en minutes)
Number of Eating Places within 15-minutes Cycling,Nombre de lieux de restauration accessibles en 15 minutes de vélo
"Residents of the Island live an average of 1.8 km from the nearest health care facility,<br/>that works out to a 7-minutes cycling. Overall, 19% of people live more than<br/>10 minutes away from their nearest health care facility, while 22% live between 5 and<br/>10 minutes away and 59% live less than 5 minutes away. Low-income<br/>households are more likely to live closer to the nearest health care facility.","Les résidents de l'Île de Montréal vivent, en moyenne, à 1.8 km de l'établissement de soins de santé le plus proche,<br/>ce qui revient à 7 minutes de vélo. Dans l'ensemble, 19% des gens habitent à plus de<br/>10 minutes de l'établissement de soins de santé le plus proche, tandis que 22% vivent entre 5 et<br/>10 minutes et 59% à moins de 5 minutes. Les ménages à faibles revenus<br/>sont plus susceptibles de vivre à proximité de l'établissement de soins de santé le plus proche."
"Residents of the Island live an average of 0.4 km from the nearest grocery store,<br/>that works out to a 2-minutes cycling. Overall, 97% of people live less than<br/>5 minutes away from their nearest grocery store.","Les résidents de l'Île de Montréal vivent, en moyenne, à 0.4 km de l'épicerie la plus proche,<br/>ce qui revient à 2 minutes de vélo. Dans l'ensemble, 97% des personnes vivent à moins de 5<br/>minutes de vélo de l'épicerie la plus proche."
"Residents of the Island live an average of 0.7 km from the nearest pharmacy,<br/>that works out to a 3-minutes cycling. Overall, 92% of people live less than<br/>5 minutes away from their nearest pharmacy.","Les résidents de l'Île de Montréal vivent, en moyenne, à 0.7 km de la pharmacie la plus proche,<br/>ce qui revient à 3 minutes de vélo. Dans l'ensemble, 92% des personnes vivent à moins de 5<br/>minutes de vélo de la pharmacie la plus proche."
Average rent ($),Loyer moyen ($)
Average property value ($),Valeur moyenne des logements ($)
Median household income ($),Revenu médian des ménages ($)
15-45 minutes to work (%),Trajet de 15-45 minutes (%)
More than 45 minutes to work (%),Trajet de plus de 45 minutes (%)
Destructive storms,Tempêtes destructrices
Drought,Sécheresses
Flood,Inondations
Heat wave,Vagues de chaleur
Heavy rain,Pluies abondantes
250-metre grid,Cellule carrée de 250m sur 250m
Boroughs and municipalities,Arrondissements et municipalités
{selection$name_2} of {place_name},{selection$name_2} de {place_name}
250-m,250-m
areas,aires
Insignificant,Insignifiant
Minor,Mineur
Moderate,Modéré
Elevated,Élevé
Major,Majeur
The area around {selection$name},La zone entourant {selection$name}
Census tract {selection$name},Secteur de recensement {selection$name}
Dissemination area {selection$name},Aire de diffusion {selection$name}
"At the {z$scale_singular} scale, {z$exp_left} varies from '{z$min_val}' to '{z$max_val}'. A plurality of {z$scale_plural} ({z$mode_prop}) have a value of '{z$mode_val}', while {z$mode_prop_2} have a value of '{z$mode_val_2}'.","À l'échelle {z$scale_singular}, {z$exp_left} varie de '{z$min_val}' à '{z$max_val}'. Une pluralité des {z$scale_plural} ({z$mode_prop}) ont une valeur de '{z$mode_val}', alors que {z$mode_prop_2} ont une valeur de '{z$mode_val_2}'."
"At the {z$scale_singular} scale, {z$exp_left} varies from {z$min_val} to {z$max_val}, with an average value of {z$mean_val} and a median value of {z$median_val}. Two thirds of {z$scale_plural} have a score between {z$quant_low} and {z$quant_high}.","À l'échelle {z$scale_singular}, {z$exp_left} varie de {z$min_val} à {z$max_val}, avec une valeur moyenne de {z$mean_val} et une valeur médiane de {z$median_val}. Deux tiers des {z$scale_plural} ont un score entre {z$quant_low} et {z$quant_high}."
"Climate change will have increasingly negative impacts on communities across Montreal and Canada, affecting different populations in distinct ways and at varying rates. The City of Montreal did an exercise examining the risk of five climate risks, including heat waves, flooding, heavy rain, drought, and destructive storms, visualised here.","Les changements climatiques auront des impacts de plus en plus négatifs sur les communautés de Montréal et du Canada, affectant différentes populations de manière distincte, et à des rythmes différents. La Ville de Montréal a examiné cinq risques climatiques, dont les vagues de chaleur, les inondations, les pluies abondantes, la sécheresse et les tempêtes destructrices, visualisés ici."
Drought vulnerability,Vulnérabilité aux sécheresses
the vulnerability to climate-change related drought events,la vulnérabilité aux sécheresses liées aux changements climatiques
Flood vulnerability,Vulnérabilité aux crues
the vulnerability to climate-change related flooding events,la vulnérabilité aux crues liées aux changements climatiques
Heavy rain vulnerability,Vulnérabilité aux pluies abondantes
the vulnerability to climate-change related heavy rain events,la vulnérabilité aux pluies abondantes liées aux changements climatiques
Destructive storm vulnerability,Vulnérabilité aux tempêtes destructrices
the vulnerability to climate-change related destructive storm events,la vulnérabilité aux tempêtes destructrices liées aux changements climatiques
Heat wave vulnerability,Vulnérabilité aux vagues de chaleur
the vulnerability to climate-change related heat wave events,la vulnérabilité aux vagues de chaleur liées aux changements climatiques
"<p>The Climate Change Risk datasets are part of the start of the City of Montreal’s iterative process examining potential climate risks for the Montreal region. It includes cartographic representation of five areas: heat waves, flooding, heavy rain, drought, and destructive storms. These climate risks, along with increased temperatures, constitute the primary concerns for the Montreal agglomeration as determined in the 2015-2020 Urban Agglomeration Climate Change Adaptation Plan. The plan includes climate modeling and, projections, and potential impacts on buildings, on municipal operations, as well as environmental and socio-economic impacts. The adaptation plan incorporates several of the City’s other climate-related plans and strategies, and focuses on moving from theory to action, taking into consideration Montreal’s landscape and surroundings. The datasets visualised here are publicly available through the Montreal Open Data Portal. <ul> <li>Heat waves include a range of extreme heat events based on temperature and duration. Montreal has generally seen an upward trend in extreme heat events, most noticeably during the 2000s. Heat waves are especially of concern in Montreal due to more than one quarter (28%) of the island containing heat islands. <li>Flooding, specifically river flooding, refers to flow rate or river level exceeding the critical threshold. The Montreal agglomeration’s flooding concerns primarily locations along the Des Prairies River. <li>Heavy rain includes long term heavy rains, potentially causing rivers to overflow, and short-term heavy rain, often localised, can put strain on infrastructures, cause public health problems, and negatively impact certain natural environments. Episodes of heavy rain are on the upward trend in Quebec, with increased instances observed from 1934 to 2014. <li>Drought includes meteorological drought (amount of precipitation), agricultural drought (soil dryness), hydrological drought (surface and groundwaters), and socioeconomic drought (actions of humans on water resources). Montreal has seen a very slight upward trend in meteorological droughts. <li>Destructive storms include wind storms, hail storms, heavy snowstorms, and freezing rain. Events of freezing rain increased 26% from 1979 to 2008, and heavy snowstorms increased over the past 70 years. No assessment could so far be made in regards to the other storm types.</ul>","<p>Les données sur la vulnérabilité aux changements climatiques font partie des premières étapes du processus itératif de la Ville de Montréal examinant les risques climatiques potentiels pour la région de Montréal. La base de données comprend la représentation cartographique des aléas climatiques suivants: les vagues de chaleur, les crues, les pluies abondantes, la sécheresse et les tempêtes destructrices. Ces risques climatiques, ainsi que l'augmentation des températures, constituent les principales préoccupations de l'agglomération de Montréal, telles que déterminées dans le Plan d'adaptation aux changements climatiques de l'agglomération de Montréal 2015-2020. Le plan comprend des modélisations et des projections climatiques, ainsi que les impacts potentiels sur les bâtiments, sur les opérations municipales, ainsi que les impacts environnementaux et socio-économiques. Le plan d'adaptation intègre plusieurs autres plans et stratégies de la ville liés au climat et vise à passer de la théorie à l'action, en tenant compte du paysage et de l'environnement de Montréal. Les données visualisées ici sont accessibles au public par le biais du portail de données ouvertes de Montréal. <ul> <li>Les vagues de chaleur comprennent une gamme d'événements de chaleur extrême basés sur la température et la durée. Montréal a généralement connu une tendance à la hausse des événements de chaleur extrême, plus particulièrement au cours des années 2000. Les vagues de chaleur sont particulièrement préoccupantes à Montréal en raison du fait que plus du quart (28 %) de l'île contient des îlots de chaleur. <li>Les crues, ou les inondations fluviales, désignent un débit ou un niveau de rivière dépassant le seuil critique. Les inondations de l'agglomération de Montréal concernent principalement les lieux situés le long de la rivière des Prairies. <li>Les pluies abondantes comprennent les pluies abondantes à long terme, pouvant potentiellement faire déborder les rivières; et les pluies abondantes à court terme, souvent localisées, pouvant mettre à mal les infrastructures, causer des problèmes de santé publique et avoir un impact négatif sur certains milieux naturels. Les épisodes de fortes pluies ont tendance à augmenter au Québec, avec une augmentation des occurrences observées de 1934 à 2014. <li>La sécheresse comprend la sécheresse météorologique (quantité de précipitations), la sécheresse agricole (sécheresse des sols), la sécheresse hydrologique (eaux de surface et souterraines) et la sécheresse socio-économique (impact des actions des humains sur les ressources en eau). Montréal a connu une très légère tendance à la hausse des sécheresses météorologiques. <li>Les tempêtes destructrices comprennent les tempêtes de vent, les tempêtes de grêle, les fortes tempêtes de neige et la pluie verglaçante. Les événements de pluie verglaçante ont augmenté de 26% de 1979 à 2008, et les fortes tempêtes de neige ont augmenté au cours des 70 dernières années. Aucune évaluation n'a pu être faite jusqu'à présent en ce qui concerne les autres types de tempêtes.</ul>"
<p>Displayed data for <b>{var}</b> is for the closest available year <b>({year_shown})</b>.</p>,<p>Les données représentées pour <b>{var}</b> sont celles de l'année disponible la plus proche <b>({year_shown})</b>.</p>
Covid interventions,Interventions (COVID)
Healthy Urban Features,Caractéristiques d'une ville saine
Housing realm,Domaine du logement
The housing realm,Le domaine du logement
Montréal climate plans,Plans climat de Montréal
Policy,Politiques
Safety,Sécurité
Safety analysis,Analyse de la sécurité
Green alleys,Ruelles vertes
Health,Santé
"<strong>{z$place_heading}</strong><p>{z$place_name} has a population of {prettyNum(round(z$selection$population), ',')} and a {z$title_left} score ({z$exp_left}) of {round(z$poly_value, 2)}, which is {z$larger_smaller} the region-wide median of {z$median_val}.<p>{z$place_name} has a {z$poor_strong} relative score for this indicator, with {z$exp_left} higher than {z$percentile}% of {z$scale_plural} in the Montreal region.","<strong>{z$place_heading}</strong><p>{z$place_name} a une population de {prettyNum(round(z$selection$population), ',')} et un indice {z$title_left} ({z$exp_left}) de {round(z$poly_value, 2)}, ce qui est {z$larger_smaller} la médiane régionale de {z$median_val}.<p>{z$place_name} a un indice relativement {z$poor_strong} pour cet indicateur, avec {z$exp_left} supérieur à {z$percentile}% des {z$scale_plural} de la région de Montréal"
Housing is important,Le logement est important
May 2020,Mai 2020
July 2020,Juillet 2020
October 2020,Octobre 2020
TK 2021,TK 2021
Total,Total
Pedestrian,Piéton
Cyclist,Cycliste
Other,Autre
Count,Compte
Per sq km,Par kilomètre carré
Per 1000 residents,Pour 1000 résidents
Introduction,Introduction
Community and participation,Communauté et participation
Greening,Verdir
Food and agriculture,Alimentation et agriculture
Land use,Utilisation des sols
Mobility,Mobilité
Equity,Equité
Adaptation and resilience,Adaptation et résilience
Economy,Économie
Innovation,Innovation
"Regionalism, internationalism and networks","Régionalisme, internationalisme et réseaux"
Sustainability,Durabilité
green,verte
mixed,mixte
community,communautaire
none,ni verte ni communautaire
"mainly covered with grass, very well maintained with several signs demonstrating the wish to build a sense of community (name of the alley, small community garden, play areas).","principalement couverte d'herbe, très bien maintenue: plusieurs signes démontrent une volonté de développer un sentiment de communauté (nom de la ruelle, petit jardin communautaire, espaces de jeux)."
"it is a ""ruelle champêtre"". Most of the alley is permeable, with a green strip in the middle and lateral greenery on both sides. Well maintained alley, with many plants and flowers, trees and green walls.","il s'agit d'une ruelle champêtre. La plupart de la ruelle est perméable, avec une bande d'herbe au milieu et de la végétation latérale des deux côtés."
large green strip in the middle of the alley and multiple green elements on the sides. There is also a play area for children.,large bande d'herbe au milieu de la ruelle et beaucoup de végétation sur les côtés. Il y a également un espace de jeux pour enfants.
"one of the most famous green alleys in Montreal. Most of its surface is permeable, with a lot of greenery.","une des ruelles vertes les plus connues à Montréal. La plupart de la surface de la ruelle est perméable, avec beaucoup de végétation."
"'family and active street' with green elements, a community garden, spaces where children can play, murals.","'rue active et familiale' avec de la végétation, un jardin communautaire, des espaces où les enfants peuvent jouer, des murales."
It is very green and safe for children.,La ruelle est très verte et sécuritaire pour les enfants.
"trees, plants and flowers on the sides. Excavation works undertaken in 2012 to create permeable surface. Benches, toys and a drawing exhibition add a sense of community.","arbres, plantes et fleurs sur les côtés. Des travaux d'excavation ont été entrepris en 2012 pour créer une surface perméable. Des bancs, des jeux et une exposition de dessins ajoutent un sentiment de  communauté."
"diverse alley that has very green sections with permeable covering, as well as one larger section open to circulation but withpaintings, murals, handmade colourful signs that add a sense of community.","ruelle diverse qui a des sections très végétalisées avec une surface perméable, ainsi qu'une large section ouverte à la circulation mais qui a des peintures, des murales, des panneaux colorés faits à la main qui ajoutent un sentiment de communauté."
"three very green sections with green walls, flower pots, green strips. The main section is very wide and permeable.","trois sections très vertes avec des murs végétalisés, des pots à fleurs et des bandes d'herbe. La section principale est très large et perméable."
permeable strip in the middle of the alley. An important part of the green elements come from private gardens. Murals and games for children add a sense of community.,bande perméable au milieu de la ruelle. Une partie importante de la végétation  vient de jardins privés. Des murales et des jeux pour enfants ajoutent un sentiment de communauté.
"large community garden. It has arts and craft, as well as explanatory boards that provide environment-oriented information.",large jardin communautaire. Il y a de l'artisanat ainsi que des panneaux explicatifs qui fournissent des informations en lien avec l'environnement.
"multiple elements that create a sense of community: play areas for kids, colourful signs, crafts and floor games. Activities with the residents seem to be frequently organised.","de nombreux éléments qui créent un sentiment de communauté: des espaces de jeux pour enfants, des signes colorés, de l'artisanat et des jeux au sol. Des activités entre résidents semblent être fréquemment organisées."
"lateral greenery on both sides, games for children such as hockey sticks.","végétation latérale des deux côtés, jouets pour enfants comme des crosses de hockey."
very grey alley with a few green elements coming from private gardens.,ruelle très grise avec un peu de végétation venant de jardins privés.
"lateral greenery (mainly green walls), small basketball baskets for kids, and murals.","végétation latérale (principalement des murs végétalisés), des petits paniers de basketball pour enfants, et murales."
narrow alley mainly covered with grass.,ruelle étroite principalement couverte d'herbe.
"located next to René-Lévesque Boulevard. Most of it is covered with permeable material and seems well maintained. It has a lot of greenery: flower, plants, trees and green walls.","située près du boulevard René-Lévesque. La majorité de la surface de la ruelle est  perméable et a l'air bien entretenue. La ruelle a beaucoup de végétation: fleurs, plantes, arbres et murs végétalisés."
"very green alley, with stairs: it has gardens on both sides, with big trees providing shade.","ruelle très verte, avec des marches: il y a des jardins des deux côtés avec des grands arbres qui apportent de l'ombre."
very small green alley situated next to a parking lot. It is a curving path bordered by greenery.,ruelle verte très petite située près d'un espace de parking. C'est un chemin en courbe bordé de végétation.
"Bordered by four hotels, this alley is very grey: there are a few green elements but that do not seem to be maintained.","bordé par quatre hôtels, cette ruelle est très grise: il y un peu de végétation, mais elle ne semble pas être entretenue."
"lateral greenery (mainly green walls), few benches and children use the alley to play.","végétation latérale (principalement des murs végétalisés), quelques bancs, et des enfants utilisent la ruelle pour jouer."
"lateral greenery, trees and an excavated permeable section. There are many elements that foster community life: a shared library, play areas for children, chairs.","végétation latérale, des arbres et une section perméable excavée. Il y a de nombreux éléments qui favorisent une vie de communauté: une bibliothèque partagée, des espaces de jeux pour enfants, des chaises."
The green elements mainly come from private gardens. The alley has some benches.,La végétation vient principalement de jardins privés. Il y a quelques bancs dans la ruelle.
The green alements mainly come from private gardens. The alley has some benches and chairs.,La végétation vient principalement de jardins privés. Il y a quelques bancs et chaises dans la ruelle.
It only has a few green elements and a table.,Il y a un peu de végétation et une table dans la ruelle.
"It is somehow divided into two parts: while the first half is very grey, with a lot of parking spots and very few vegetation, the second half is more children oriented with toys, bikes, and is greener.","La ruelle est en quelque sorte divisée en deux parties: alors que la première partie est très grise, avec de nombreux espaces de stationnement et très peu de végétation, la seconde partie est davantage orientée vers les enfants avec des jouets, des vélos, et a plus de végétation."
"recent green alley. It does not have a lot of green elements, but it has some benches and toys for kids.","ruelle verte récente. Il n'y a pas beaucoup de végétation, mais il y a quelques bancs et des jouets pour enfants."
"It has green elements and is very community oriented. Colourful alley with activities for children of different ages. There are basketball baskets, a ping-pong table as well as swings and signs made by the residents.","Il s'agit d'une ruelle verte et communautaire. Ruelle colorée avec des activités pour des enfants d'âges divers. Il y a des paniers de basketball, une table de ping-pong ainsi que des balançoires et des panneaux faits par les résidents."
"not a lot of greenery, but several elements fostering a sense of community, such as benches and a basketball basket.","peu de végétation, mais plusieurs éléments favorisant un sentiment de communauté, tels que des bancs et un panier de basketball."
"lateral greenery (flowers, trees), as well as benches, chairs and a shared library.","végétation latérale (fleurs, arbres), ainsi que des bancs, des chaises et une bibliothèque partagée."
